x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
4040.0342681270427,18125.32460397889,8005.335950777082,18982.915122058654,8944.937539739116,7573.272388802561,58490.47189183995,957.2557642244024,13229.210237407793,10254.259575091972,33893.21101342381,30844.003567001266,4962.277451020747,17018.92315017034,42153.9136063459,1769.0255175699454,1918.6998712532788
3942.6200944353586,17873.34682791079,7892.888990805075,18521.001152393143,8701.98016771698,7458.268681410937,56036.47275814027,950.8850250926259,12804.54927919683,9985.668928660602,32250.45726127567,29909.109617643302,4834.8597024483215,16885.093782113378,39538.06016639631,1717.2245177950708,1918.7084161592416
3922.9091466140308,17601.32074458539,7875.039431691102,18387.22993770489,8729.865029078206,7451.281979435653,55793.12004271741,957.3502695300355,12775.030726229728,9968.553521463127,31901.814353595906,29676.579380952073,4797.704907183147,16863.790294347724,38418.494891081915,1711.588389105341,1933.2673583985056
3922.9091466140308,17573.901061025434,7875.039431691102,18387.22993770489,8729.865029078206,7449.527766504431,56234.625774742206,981.6466308300105,12781.835465716831,10014.350994807553,31901.814353595906,29713.876895158348,4783.9226941563475,16868.543377122427,38095.2962135113,1711.588389105341,2048.0167691109136
4116.767782510998,17815.595635988047,8294.704153452747,19076.65579208819,9637.369108054194,7846.637153502044,59287.88140860542,1019.2589055721241,13178.581167055127,10554.710238668114,32668.315822325483,30911.752794924814,5102.690387702789,16977.547137692967,38095.2962135113,1816.8098951714662,2400.065317251218
4721.864218862657,19670.41710511583,9672.785827788573,21046.2946321464,10958.001720923261,9005.016663134176,65407.37813903843,1115.5321299404022,14980.305273503514,11906.29508833095,37434.19182902194,33767.53296551016,6014.943687100811,18539.381065995345,40084.412925056175,2049.5599965587307,2455.579862309398
5181.034287671608,20606.308638720686,10629.717783874832,22379.35503243914,11822.493012562574,9747.758759644368,73371.24705995171,1236.0185406393923,17087.707320555648,13212.103285468296,44007.78383220524,37161.3947675873,6564.269537376326,19356.71003925987,47206.933382817544,2256.003909123244,2428.352373949993
5407.890820148662,20666.39453701687,10990.034174236887,22856.847567432826,11992.20746722977,10124.788413404618,79149.5597213232,1294.9405386404492,18152.800517910087,13993.705724107447,47384.21996059393,40502.63362721299,6746.480142849129,18923.35208816101,51176.231636968274,2343.820477931904,2396.0284407542763
5475.420767503567,20413.161965575782,11125.493920314284,23154.98049495927,11836.504035063526,10247.984310259926,79918.29755467553,1307.8971645412132,18463.608463445442,14134.59742977755,49845.67229338339,43158.94982671586,6810.071621219706,18673.6160114747,53976.9920778491,2353.7159923111994,2413.0388507841803
5489.978391425738,20435.877259514356,11137.225885923192,23505.537138923075,11705.60111873733,10226.352869909522,80012.12648628549,1311.9603776681452,18555.34268172178,14158.780116951173,50462.89585302067,42795.19520917787,6828.188374821254,18750.44193023259,55229.30455945939,2337.239172932638,2411.674032111807
5495.08934137759,20357.435060265216,11094.43781436124,23599.450095863343,11628.546210967128,10183.95428203075,80017.45785272686,1308.054630465994,18522.283855652753,14143.197816055117,50328.521521465605,42124.10119452205,6818.92286844519,18802.09765316774,55708.00067462275,2337.7416423519494,2412.3728739594603
5495.08934137759,20342.908727070928,11052.67482343141,23597.893132670066,11554.144663446985,10126.650662938595,79660.31086192274,1300.1846818263273,18522.283855652753,14143.197816055117,49788.01481901188,40922.388049063906,6788.48494121518,18802.09765316774,55641.59723332715,2337.7416423519494,2418.8194139378706
5508.580011036854,20363.193128231167,11035.422771209955,23621.57683999867,11536.155315366457,10082.098377946322,79537.65825618971,1292.1097571014184,18471.124874690195,14134.267072783674,49865.74962612006,40331.786258487424,6758.671776156889,18789.529835497422,55483.87821001461,2343.805856419933,2420.476599854259
5524.369738965274,20363.193128231167,11008.605126993572,23621.57683999867,11508.191573411841,10082.098377946322,79537.65825618971,1298.158611677224,18411.718820754566,14134.267072783674,49591.555425063634,40246.88291491877,6758.671776156889,18789.529835497422,55371.51317111638,2346.7187865269893,2414.5035791262712
5524.369738965274,20363.193128231167,10998.434353705672,23582.49451144865,11525.549876745265,10072.7750703766,79465.34965022978,1310.953136515601,18394.940729532816,14191.073207129937,49591.555425063634,39971.8474734397,6777.884899660215,18789.529835497422,55371.51317111638,2344.5657108674277,2422.6170330678583
5541.832694556504,20420.347527232607,11083.493022970368,23626.68929454972,11525.549876745265,10149.720246345185,79465.34965022978,1323.031790101499,18477.04612839937,14266.401542006846,49591.555425063634,39971.8474734397,6783.258124212677,18846.024025927774,55321.18435372265,2350.242802999425,2427.535218019779
5535.286462953632,20387.512986287813,11107.979842134459,23649.280575244353,11811.908151487485,10234.4078780125,80794.50451155654,1321.0934013054418,18885.068255173435,14505.382901821054,50726.935262353276,40424.49685528814,6836.429703036765,18837.558740780703,55453.88815907653,2439.4460945703872,2430.05425629757
5542.924095327473,20387.512986287813,11159.361049519477,23720.418478785206,11794.42981246847,10259.125647730867,81148.35447311401,1321.0934013054418,18927.10843308112,14485.093707789549,51673.08018525682,40762.89824236326,6869.202729485269,18873.247520981677,56016.78210176502,2452.835454048211,2430.05425629757
5542.924095327473,20443.987522291,11105.837588064764,23720.418478785206,11768.06197353371,10149.306189783934,80857.89632919931,1308.240550985523,18927.10843308112,14419.287427442034,51673.08018525682,41201.77893570864,6931.305843546109,18817.95888148605,56010.185158577486,2451.528337295527,2418.5827857727513
5405.786247432518,20112.08977402578,10791.732051867315,23811.40893923973,11485.692313144118,9828.79224165948,79053.63409735546,1275.4106438452916,18752.601454112115,14068.030495511359,49889.231655449286,41465.80370902554,6805.686816301767,18800.471277539098,55877.48135322359,2390.3535558224703,2376.9551589648954
4968.126389438151,19875.77726562815,9873.109606506416,24167.251600864656,10977.939076701376,9033.324263038923,75871.74365930344,1160.503265024212,17935.463016540143,13475.174332798191,46198.6344377014,40009.67603504081,6413.008948213809,18762.046120342937,54790.87366825813,2387.3519682936235,2292.674516633665
4670.270135228802,19349.10860560804,9301.797635423238,23460.053394489863,10643.417912112138,8540.638159808086,72843.15338962694,1104.549686398319,17160.44614246441,12939.603183266949,43830.94715258073,37743.11436222121,6054.437292374915,18102.780528486885,50854.402801630255,2314.630602026037,2204.1903064091753
4415.055925029415,18795.724171627455,8796.475641161456,22455.978040737962,10088.99365791472,8217.164511264009,69016.53394875213,1054.1531227467083,15950.2297807448,12301.105009324121,40873.60496136397,35628.10248102149,5605.805427324451,17531.888122352066,48196.5996386563,2199.8206333320013,1974.8870976008573
4190.295816432484,18357.28030544556,8355.272714524584,20713.46184459922,9110.148369802648,7695.7095169594595,60635.458323417806,1001.1295304799961,13979.471424015239,10545.026475778275,35759.84456792674,32401.559152078466,5211.242477694606,17430.59541523082,45506.97273494379,1855.2257130433663,1923.67800200703
4063.6960432788173,18095.677330723673,8215.581084768059,19935.902940080872,8963.74713167118,7671.452535914233,59707.866814980174,981.7100420875367,13312.584347171412,10414.996991350119,34001.143354461055,30844.003567001266,4963.17816106313,17059.70045311942,42153.9136063459,1820.2420049972286,1894.2060955014647
3971.9363469015316,17873.34682791079,8147.923570362215,19578.430571900357,8780.366328400232,7611.610810401108,57365.35481562865,983.1927067292501,12987.41998381583,10180.973068525958,32453.96324062448,29862.415990660753,4829.683487133593,16984.84956426556,39538.06016639631,1760.9553713120738,1892.6522372171785
3952.2253990802033,17850.439161162423,8059.578613188662,19595.06072548367,8808.251189761459,7601.593053598804,57063.64156478217,985.6744366557858,12957.901430848728,10145.614459771663,32138.502535584816,29676.579380952073,4789.489217156108,16963.546076499908,38353.08153377623,1774.8019431483467,1903.6049662200185
3952.2253990802033,17855.55015694997,8059.578613188662,19650.187432120507,8808.251189761459,7601.593053598804,57063.64156478217,997.5006039959799,12957.901430848728,10145.614459771663,32138.502535584816,29676.579380952073,4789.489217156108,16968.299159274608,38039.5721165123,1774.8019431483467,2009.3579055546682
4153.110233021631,17920.559050333213,8502.304908315728,20364.987957956262,9613.659202157514,8032.283734203019,59760.15161920344,1038.2222835487728,13370.95861270109,10690.425888749282,32995.87085960068,30711.436578426445,5052.8919173857375,17157.689584744992,38082.38714581825,1888.3620046563778,2371.0783670240558
5005.292687270423,19953.465276020703,10105.950916292402,22722.376995506937,11056.691632024931,9046.116801796601,67351.66668392209,1148.1962021573972,15325.324103328036,12021.940857006797,38308.80106219809,33689.295551538715,6014.760846335654,18556.482405730498,40263.81343146822,2194.3563654298005,2466.2265522186835
5434.2370935133495,20769.35115318711,10848.908527938314,23296.411458078728,11754.87633927082,9760.932190238731,74005.46921779941,1257.0524088338684,17150.56050630853,13344.5847683405,44540.774506332,36996.251875715876,6564.269537376326,19302.89936861677,49397.36807649621,2421.4925024827826,2427.9369600601162
5495.041534872938,20666.39453701687,11101.948859720236,23459.721582661787,11781.828351875458,10137.96184399898,79956.22508260493,1300.4661376820684,18228.669972125073,14115.1827101416,48079.79107389595,40025.86869794285,6746.480142849129,18931.73605452665,52997.10188420109,2470.84776427119,2405.8829521507773
5569.53982353656,20413.161965575782,11211.606175127074,23395.56193710524,11772.90226965553,10247.984310259926,81132.78127114054,1313.809540065287,18463.608463445442,14224.793217433513,49966.54643467595,42607.782587845824,6842.916164720263,18835.6619802038,54480.220575491105,2478.3957136729646,2418.675859517698
5584.138734894566,20435.877259514356,11176.627354198918,23007.446746601894,11672.861099693208,10245.11204411416,80202.78519172753,1320.3126381264788,18555.34268172178,14248.97590460714,50404.92706386638,42340.63148712387,6922.421536551279,18986.75227610448,55641.94444086334,2443.843920448692,2420.323317387298
5554.470452712322,20414.589459266655,11132.135565736091,23689.616131545026,11628.546210967128,10234.305368863841,80305.9440146099,1315.0556195583615,18566.523253019925,14230.71327028597,49622.92903706096,40922.388049063906,6894.340973282381,18928.593083624302,56076.073213686555,2427.8326685782777,2418.576212768164
5542.20265171182,20342.908727070928,11105.73453183009,23720.88812014187,11616.76670902116,10222.87057383007,80115.28530916784,1311.420899152338,18522.283855652753,14182.386761467409,48910.60622354301,40278.72862804747,6894.340973282381,18847.176719654573,55967.26162691647,2409.1990601402886,2420.476599854259
5524.369738965274,20269.031009945138,11077.185762139787,23716.86298742744,11598.77736094063,10190.848524773908,79537.65825618971,1307.9970775073864,18493.82421962112,14168.220276259395,48582.900470380904,39987.783177924895,6883.0480259494925,18834.60890198426,55483.87821001461,2352.395878658986,2420.476599854259
5524.369738965274,20269.031009945138,11077.185762139787,23703.6236954872,11598.77736094063,10194.415240152257,79326.8510386849,1306.0285603168907,18493.82421962112,14134.267072783674,48283.282228731296,39822.46041516168,6861.979507227777,18834.60890198426,55371.51317111638,2352.395878658986,2420.476599854259
5538.7073443149,20363.193128231167,11088.482479608638,23703.6236954872,11610.5568628866,10190.848524773908,79465.34965022978,1307.9970775073864,18521.28552576654,14121.390090295456,48283.282228731296,39593.18498508393,6824.826398685528,18916.025265953984,54765.853025181714,2350.242802999425,2423.009835821957
5554.100495557007,20419.49277986181,11121.19077434522,23694.207896765867,11662.141341371454,10212.837742152962,79465.34965022978,1310.135549743435,18521.28552576654,14121.390090295456,48662.987433625596,39550.358582275025,6830.199623237991,19031.642276424478,54315.01488967955,2406.6495790450763,2431.7025029277206
5570.868083807848,20469.06594131355,11144.08679992941,23785.305557964846,11876.075799413265,10259.125647730867,80099.71210719437,1312.2187865896788,18929.307652540607,14340.082256078158,50015.62051575097,39968.13870695645,6893.967870171192,19023.176991277407,54315.01488967955,2461.822577985389,2431.7025029277206
5579.788342971264,20470.869436405388,11184.784145539003,23838.311221300675,11876.075799413265,10259.125647730867,80099.71210719437,1312.2187865896788,18927.10843308112,14340.082256078158,50568.812060226606,40402.95517467526,6931.305843546109,19023.176991277407,54684.85059201305,2483.384898479863,2426.3042257207903
5576.7059099327,20503.649325983766,11105.837588064764,23816.927225180505,11882.13245714907,10149.306189783934,79219.79501811149,1308.240550985523,18927.10843308112,14288.356401553696,50846.09470158832,40677.99489879461,6938.257840757131,19053.53329238598,55141.88963710679,2513.652588696714,2410.182222990819
5431.884252926458,20195.40906121419,10801.115650937181,23190.091291167086,11423.68530755897,9828.79224165948,76829.44101990451,1277.7782978851913,18618.228421710086,13850.273878526441,49940.76166425509,40470.07271315738,6805.686816301767,18993.09717402571,55141.88963710679,2475.6255173732416,2375.9268781273586
4962.453169800907,19925.068426029164,9873.109606506416,24202.602322548155,10902.18398392657,9033.324263038923,73488.04607475277,1171.4469536657562,17696.7084454011,13095.131924653153,46198.6344377014,39695.64287116395,6400.540692346216,19011.05032799636,54302.21161178269,2463.7623652401717,2297.8280151497884
